oyun_adi,etiketler,gelistirici,yayinci,yayin_tarihi,turkce_incelemeler,en_son_incelemeler,turkce_destegi,fiyat_dlc,fiyat2,ozellikler,kontrolcu_destegi,dil_sayisi,diller_detay,yas_siniri
Fight School Simulator,"FPS, Sürükleyici Simülasyon, Dükkân Sahibi, İnşa Etme, Üretim, Yönetim, Dövüş Sanatları, Ninja, Yaşam Simülatörü, 3D Dövüş, Aksiyon RYO, Karakter Kişiselleştirme, Birinci Şahıs, 3D, Zengin Hikâye, Tarihsel, RYO, Aksiyon, Simülasyon, Gerçekçi",Queen,Queen,7 Eki 2024,,,"Arayuz, Altyazi",$1.49 USD,$2.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı",,Türkçe ve 14 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Endonezce: Arayuz, Altyazi",
TrackMania² Stadium,"Yarış, Çok Oyunculu, Otomobil Simülasyonu, Bölüm Düzenleyici, Zamana Karşı, Spor, Arcade, Tek Oyunculu, Yerel Çok Oyunculu, E-spor, Rekabetçi, Hızlı, Sandbox, Araç Kullanma, Bölünmüş Ekran, Aksiyon, Simülasyon, Harika Müzik, Kontrolcü",Nadeo,Ubisoft,27 Şub 2013,,En Son:Çoğunlukla Olumlu(%71/14),Arayuz,,$7.99 USD,"Tek Oyunculu, Steam Atölyesi, Bölüm düzenleyicisi içerir, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 20 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Almanca: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Kastilya İspanyolcası: Arayuz | Basitleştirilmiş Çince: Arayuz | Rusça: Arayuz | Japonca: Arayuz | Portekizce - Portekiz: Arayuz | Lehçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Norveççe: Arayuz | İsveççe: Arayuz | Macarca: Arayuz | Çekçe: Arayuz | Rumence: Arayuz | Brezilya Portekizcesi: Arayuz | Korece: Arayuz,3+
ScourgeBringer Supporter Pack,"Aksiyon, Macera, Bağımsız","Flying Oak Games, E-Studio",Dear Villagers,21 Eki 2020,,,Desteklenmiyor,,$0.79 USD,"Tek Oyunculu, İndirilebilir İçerik, Sesli anlatım destekli, Aile Paylaşımı",Tam kontrolcu destegi,1 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz,
Slime Rancher: Original Soundtrack II + The Casey Sessions,"Aksiyon, Macera, Bağımsız, Simülasyon, Oyun Müziği",Monomi Park,,13 Ara 2019,,,,,$1.79 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud",,,,
Might & Magic: Heroes VI,"Strateji, Sıra Tabanlı Strateji, RYO, Sıra Tabanlı, Fantezi, Çok Oyunculu, Tek Oyunculu, Taktiksel, Üs İnşa Etme, Yerel Çok Oyunculu, Sihir, Macera",Blackhole,Ubisoft,13 Eki 2011,,En Son:Karışık(%65/29),Desteklenmiyor,,$7.99 USD,,,10 dil destekleniyor,Türkçe: Desteklenmiyor | Çekçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | Almanca: Arayuz | Macarca: Arayuz | İtalyanca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Rusça: Arayuz | Kastilya İspanyolcası: Arayuz,16+
Mayday Protocol,"Bulmaca, Basit Eğlence, Strateji, Eşli, Parti Oyunu, Zaman Yönetimi, Uçuş, Kutu Oyunu, Eşli Ana Görev, Aile Dostu, 3D, Birinci Şahıs, Takım Tabanlı, Simülasyon, Bağımsız, Mantık, Taktiksel, Hızlı Reaksiyon İsteyen Olaylar, Çevrimiçi Eşli Oyun, Yerel Eşli Oyun",Wazang Games,Wazang Games,2 Mar 2026,,,"Arayuz, Altyazi",,$3.59 USD,"Ortak/Bölünmüş Ekran Eşli, Steam Başarımları, Steam Cloud, Aile Paylaşımı, Steam bu oyunu analiz ediyor",,Türkçe ve 9 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Rusça: Arayuz, Altyazi",
CHUCHEL,"Basit Eğlence, Komedi, Komik, Point & Click, Çizgi Film, Renkli, Sevimli, Çizgi Filmvari, 2D, Lineer, Tek Oyunculu, Elle Çizilmiş, Stilize, Bulmaca, Gerçeküstü, İnteraktif Kurgu, Zengin Hikâye, Macera, Bağımsız, Retro",Amanita Design,Amanita Design,7 Mar 2018,,En Son:Çok Olumlu(%94/56),"Arayuz, Seslendirme",$3.49 USD,$5.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",,Türkçe ve 26 dil daha,"Türkçe: Arayuz, Seslendirme | İngilizce: Arayuz, Seslendirme | Fransızca: Arayuz, Seslendirme | İtalyanca: Arayuz, Seslendirme | Almanca: Arayuz, Seslendirme | Kastilya İspanyolcası: Arayuz, Seslendirme | Arapça: Arayuz, Seslendirme | Bulgarca: Arayuz, Seslendirme | Çekçe: Arayuz, Seslendirme | Danca: Arayuz, Seslendirme | Felemenkçe: Arayuz, Seslendirme | Fince: Arayuz, Seslendirme | Yunanca: Arayuz, Seslendirme | Macarca: Arayuz, Seslendirme | Japonca: Arayuz, Seslendirme | Korece: Arayuz, Seslendirme | Norveççe: Arayuz, Seslendirme | Lehçe: Arayuz, Seslendirme | Portekizce - Portekiz: Arayuz, Seslendirme | Brezilya Portekizcesi: Arayuz, Seslendirme | Rumence: Arayuz, Seslendirme | Rusça: Arayuz, Seslendirme | Basitleştirilmiş Çince: Arayuz, Seslendirme | İsveççe: Arayuz, Seslendirme | Tayca: Arayuz, Seslendirme | Geleneksel Çince: Arayuz, Seslendirme | Ukraynaca: Arayuz, Seslendirme",
Cafe Cafe: Idle Bird Collector,"Idler, Dükkân Sahibi, Rahatlatıcı, İç Isıtıcı, Strateji, Yönetim, Basit Eğlence, Simülasyon, 2D, Sevimli, Pozitif, Aşçılık, Bağımsız, Renkli, Elle Çizilmiş, Minimalist, Aile Dostu, Karakter Kişiselleştirme, Ekonomi, Kaynak Yönetimi",CHONKSOFT,CHONKSOFT,10 Kas 2025,,,Desteklenmiyor,,$1.79 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, İstatistikler, Aile Paylaşımı, Profil Özellikleri Sınırlı",,1 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi",
Ship Graveyard Simulator,"Simülasyon, Bağımsız, Denizcilik, Keşif, Aksiyon, Rahatlatıcı, Tek Oyunculu, Yıkım, Sandbox, Envanter Yönetimi, Atmosferik, Fizik Tabanlı, Strateji, Gerçekçi, Birinci Şahıs, Yönetim, Üretim, Eğitici, Yaşam Simülatörü, Macera",Games Incubator,"Games Incubator, PlayWay S.A.",10 Kas 2021,,En Son:Çoğunlukla Olumsuz(%39/28),"Arayuz, Altyazi",$2.99 USD,Play Now,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı",,Türkçe ve 12 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi",
Wedding Witch,"Cinsel İçerik, Yetişkinler İçin, Aksiyon Roguelike, NSFW, Hentai, Rogue-like, Aksiyon, Basit Eğlence, Anime, Aksiyon RYO, İzometrik, 3D, RYO, Üstten Görünüş, Fantezi, Hayatta Kalma, Romantik, Birden Fazla Son, PvE, Lineer",Chowbie,Chowbie,3 Kas 2023,,En Son:Çok Olumlu(%86/30),Arayuz,$2.49 USD,$2.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 12 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Japonca: Arayuz | Korece: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
A Monster's Expedition,"Bulmaca, Açık Dünya, Macera, Sokoban, Aile Dostu, Keşif, Zor, Komik, Sevimli, Tek Oyunculu, Basit Eğlence, 3D, Strateji, Rahatlatıcı, Kıyamet Sonrası, Atmosferik, Gerçeküstü, Lineer Olmayan, Alternatif Tarih, Çizgi Filmvari",Draknek & Friends,Draknek & Friends,10 Eyl 2020,,En Son:Çok Olumlu(%100/19),"Arayuz, Altyazi",-50%$4.49$2.24 USD,$2.24 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Televizyonda Remote Play, Remote Play Together, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 13 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Arapça: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
Praise Dead,"RYO, Strateji, Bağımsız, Sıra Tabanlı Savaş, Rogue-like, Karanlık Fantezi, Piksel Grafikler, Auto Battler, Taktiksel, Simülasyon, Zombi, Rogue-lite, Kötü Ana Karakter, Aksiyon Roguelike, Idler, 2D, Psikolojik Korku, Kara Mizah, Basit Eğlence, İblisler",Intrepid Marmot,Intrepid Marmot,5 Ara 2023,,,Desteklenmiyor,,$4.49 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı",,7 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme | Fransızca: Arayuz | Çekçe: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | Almanca: Arayuz | Geleneksel Çince: Arayuz",
Figment 2: Creed Valley Soundtrack,+ Kendi etiketinizi ekleyin,Bedtime Digital Games,Bedtime Digital Games,20 Tem 2023,,,,,$1.15 USD,,,,,
Kraken Şehri,"Cinsel İçerik, Hack and Slash, Fizik Tabanlı, 3D Dövüş, Sevimli, Hentai, NSFW, 3D, Gerçekçi, Musou, Suç, Kadın Karakter, Aksiyon, Kılıçlı Dövüş, Arcade, Kara Komedi, Komik, Beat 'em up, Üçüncü Şahıs, Zengin Hikâye",nStarcube,nStarcube,9 Ara 2024,,En Son:Karışık(%54/11),"Arayuz, Altyazi",,$2.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 14 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Vietnamca: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Tayca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Korece: Arayuz, Altyazi",
Blood Night,"Erken Erişim, Zombi, Aksiyon, Hayatta Kalma, İnşa Etme, Üretim, Nişancı, Çok Oyunculu, 2D, Açık Dünya, Üs İnşa Etme, Tek Oyunculu, Parti Oyunu, Prosedürel Oluşturma, Eşli, Macera, 6DOF, Kıyamet Sonrası, Çevrimiçi Eşli Oyun, Keşif",Team,Team,1 Mar 2026,,,Desteklenmiyor,,$1.49 USD,"Tek Oyunculu, LAN Eşli, Aile Paylaşımı, Steam bu oyunu analiz ediyor",,2 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Rusça: Arayuz,
Foretales,"Kart Oyunu, Zengin Hikâye, Dinamik Anlatı, Macera, Tek Oyunculu, Kartlı Savaş, Çatışma, Atmosferik, Anlatı, Masa Oyunları, Kutu Oyunu, Birden Fazla Son, Keşif, Önemli Seçimler, Fantezi, Kendi Maceranı Seç, İnteraktif Kurgu, Strateji, RYO, Sinematik",Alkemi,Dear Villagers,15 Eyl 2022,,,Desteklenmiyor,-80%$4.99$0.99 USD,$2.23 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",,6 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
Nightmare Shift,"Psikolojik Korku, Yürüme Simülatörü, Zengin Hikâye, Korku, Birinci Şahıs, Atmosferik, Gerilim, Sohbet, Macera, Dram, Simülasyon, Yaşam Simülatörü, Sürükleyici Simülasyon, Psikolojik, Kadın Karakter, RYO, 3D, Önemli Seçimler, Gerçekçi, 1990'lar",Binary Lunar,Binary Lunar,15 Tem 2025,,,"Arayuz, Altyazi",,$3.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 9 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Arapça: Arayuz, Altyazi",
Revita,"Aksiyon Roguelike, Çift Analoglu Nişancı, Dungeon Crawler, Rogue-lite, Looter Shooter, PvE, Piksel Grafikler, Aksiyon Macera, 2D, Rogue-like, Sevimli, Aksiyon, Silah Kişiselleştirme, RYO, Prosedürel Oluşturma, Renkli, Macera, Eski Usul, Puan Yarışı, Retro",BenStar,"Dear Villagers, Doyoyo Games",3 Mar 2021,,,Desteklenmiyor,-80%$9.99$1.99 USD,$1.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Steam Sıralama Listeleri, Aile Paylaşımı",Tam kontrolcu destegi,7 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Latin Amerika İspanyolcası: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi",
Horror Globes,"Korku, Keşif, Bulmaca, Gizem, Atmosferik, Macera, Sürükleyici, 3D, Birinci Şahıs, Gerçekçi, Tek Oyunculu, Kısa, Vahşet, Bağımsız, Psikolojik Korku, Çok Oyunculu",islaOliva Games,islaOliva Games,30 Eki 2020,,,Desteklenmiyor,,$3.49 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı",,3 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi",
Ultros,"Metroidvania, Macera, Platform, Bilim Kurgu, 2D Platform, Kadın Karakter, Keşif, Aksiyon, Psikedelik, Tek Oyunculu, 2D, Renkli, Elle Çizilmiş, Rogue-lite, Roguevania, Stilize, Oyun Müziği, Atmosferik, Gizem, Çatışma",Hadoque,Kepler Interactive,13 Şub 2024,,En Son:Karışık(%58/17),Desteklenmiyor,$3.59 USD,$14.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,11 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Japonca: Arayuz | Korece: Arayuz | Brezilya Portekizcesi: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz,
"Slime Rancher 2: Original Soundtrack, Vol. 2",+ Kendi etiketinizi ekleyin,Monomi Park,Monomi Park,23 Eyl 2025,,,,,$4.34 USD,,,,,
Headbangers: Rhythm Royale,"Basit Eğlence, Ritim, Battle Royale, Karakter Kişiselleştirme, PvP, Komik, 3D, Kontrolcü, Renkli, Çok Oyunculu, Hızlı Reaksiyon İsteyen Olaylar, Komedi, Kuşlar, Müzik, Parti Oyunu, Sevimli, Mini Oyun, Aile Dostu, Parti, Alternatif Tarih",Glee-Cheese Studio,Team17,31 Eki 2023,,En Son:Çoğunlukla Olumlu(%70/10),Desteklenmiyor,$6.59 USD,$10.49 USD,"Çevrimiçi PvP, Çapraz Platform Çok Oyunculu, Steam Başarımları, Aile Paylaşımı",Tam kontrolcu destegi,10 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Korece: Arayuz | Japonca: Arayuz | Rusça: Arayuz,
Styx: Shards of Darkness - The Akenash Set,"Macera, Aksiyon, Gizlilik",Cyanide Studio,Nacon,14 Mar 2017,,,Desteklenmiyor,,$1.39 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,6 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi",
DLC - Crusader Kings II: Europa Universalis IV Converter,"Strateji, Simülasyon",Paradox Development Studio,Paradox Interactive,13 Ağu 2013,,,Desteklenmiyor,,$5.99 USD,"Tek Oyunculu, İndirilebilir İçerik, Steam Koleksiyon Kartları",,4 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Almanca: Arayuz | Fransızca: Arayuz | Kastilya İspanyolcası: Arayuz,
SnowRunner - Season 14: Reap & Sow,"Simülasyon, Macera, Otomobil Simülasyonu, Keşif, Çok Oyunculu, Araç Kullanma, Gerçekçi, Sandbox, Açık Dünya, Birinci Şahıs, Üçüncü Şahıs, Sürükleyici Simülasyon, Atmosferik, Kar, Yarış, Doğa, Fizik Tabanlı, ATV, PvE, Takım Tabanlı",Saber Interactive,Focus Entertainment,26 Eyl 2024,,,Desteklenmiyor,,$3.49 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Telefonda Remote Play, Tablette Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
Graveyard Keeper Artbook,"Bağımsız, Simülasyon, Macera, RYO",Lazy Bear Games,tinyBuild,15 Ağu 2018,,,Desteklenmiyor,,$3.59 USD,"Tek Oyunculu, İndirilebilir İçerik, Steam Koleksiyon Kartları, Aile Paylaşımı",,1 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi",
Aquarium Designer,"Su Altı, Rahatlatıcı, Aile Dostu, Denizaltı, Kaynak Yönetimi, Gerçekçi, Yaşam Simülatörü, Idler, Yönetim, Tek Oyunculu, Basit Eğlence, Tıklama, Simülasyon, Sandbox, Eğitici, Bağımsız, Renkli, Envanter Yönetimi, 3D, İnşa Etme",Sigur Studio,"Games Operators, PlayWay S.A.",21 Eki 2021,,,Desteklenmiyor,$2.99 USD,$5.79 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı",,7 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi",
Atomic Heart - Original Soundtrack,Oyun Müziği,Mundfish,"Focus Entertainment, 4Divinity",20 Şub 2023,,,,,$6.99 USD,,,,,18+
Dream Garden,"Sandbox, İnşa Etme, Tasarım ve İllüstrasyon, Rahatlatıcı, Simülasyon, İç Isıtıcı, Basit Eğlence, Doğa, Bağımsız, Sürükleyici Simülasyon, Sevimli, Atmosferik, Renkli, Minimalist, Stilize, 3D, Üstten Görünüş, Tek Oyunculu, Müzik, Aile Dostu",Campfire Studio,Campfire Studio,3 Kas 2025,,,Desteklenmiyor,$1.49 USD,$4.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, İstatistikler, Aile Paylaşımı",,9 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Japonca: Arayuz | Portekizce - Portekiz: Arayuz,
Deconstruction Simulator,"Simülasyon, İnşa Etme, Yıkım, Tek Oyunculu, Tasarım ve İllüstrasyon, Basit Eğlence, Gerçekçi, Sandbox, Birinci Şahıs, Aile Dostu, Yönetim, Sinematik, Ekonomi, Rahatlatıcı, 3D, Fizik Tabanlı, Açık Dünya, Komik, Bağımsız, Sürükleyici Simülasyon","Games Incubator, Hypnotic Ants","Games Incubator, PlayWay S.A.",23 Eyl 2025,,En Son:Karışık(%52/38),"Arayuz, Altyazi",,$5.75 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 12 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
80 Days,"Macera, Zengin Hikâye, Önemli Seçimler, Kendi Maceranı Seç, Strateji, Bağımsız, İnteraktif Kurgu, Birden Fazla Son, Tekrar Oynanabilir, Steampunk, Keşif, Tek Oyunculu, Basit Eğlence, Rahatlatıcı, Atmosferik, Harika Müzik, Romantik, Görsel Roman, Komik, Açık Dünya","inkle Ltd, Cape Guy Ltd",inkle Ltd,28 Eyl 2015,,,Desteklenmiyor,,$3.24 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",,1 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi",
Morels: The Hunt 2,"Simülasyon, Macera, Aile Dostu, Basit Eğlence, Yürüme Simülatörü, Yaratık Toplama, Doğa, Gizli Nesne, Tek Oyunculu, Aksiyon Macera, 3D, Sinematik, Birinci Şahıs, Gerçekçi, Atmosferik, Rahatlatıcı, Hayatta Kalma, Lineer Olmayan, Açık Dünya, Bağımsız",Abrams Studios,Abrams Studios,17 Nis 2024,,,Desteklenmiyor,$2.99 USD,$10.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Aile Paylaşımı",Tam kontrolcu destegi,7 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi",
INDIKA: ARTBOOK,Macera,Odd Meter,11 bit studios,2 May 2024,,,Desteklenmiyor,,$1.64 USD,"Tek Oyunculu, İndirilebilir İçerik, Aile Paylaşımı",,11 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi",
Greedland,"Shoot 'Em Up, Rogue-lite, Çift Analoglu Nişancı, Mermi Cehennemi, TPS, Rogue-like, Bilim Kurgu, Puan Yarışı, Mech'ler, Macera, Aksiyon, Üstten Görünüş, Tek Oyunculu, Üstten Görünüşlü Nişancı, Uzaylılar, Nişancı, Bağımsız, Yerel Eşli Oyun, Eşli, Üçüncü Şahıs",VaMP He,"Gamersky Games, 2P Games",4 Ağu 2023,,En Son:Çoğunlukla Olumlu(%75/41),"Arayuz, Altyazi",,$3.53 USD,"Tek Oyunculu, Ortak/Bölünmüş Ekran Eşli, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Remote Play Together, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 11 dil daha,"Türkçe: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Seslendirme, Altyazi | İngilizce: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Rusça: Arayuz, Altyazi",
